0FLOW THROUGH A HEATED PIPE











0               INLET FLUID VELOCITY                       =      .200E+01
0               REYNOLDS NUMBER                            =      .251E+04
0               FLUID DENSITY                              =      .116E+01
0               LAMINAR VISCOSITY                          =      .185E-04
0ITER   I-----ABSOLUTE RESIDUAL SOURCE SUM          S------I   I----FIELD VALUES AT MONITORING LOCATION            ( 5, 5)--------I
  NO.   UMOM      VMOM      MASS      ENER      TKIN      DISP          U         V         P         T         K         D

0  1     5.411E+00 9.767E-04 8.627E-02 0.000E+00 0.000E+00 0.000E+00    2.034E+00-3.643E-06 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  2     4.537E+00 3.770E-02 1.101E+00 0.000E+00 0.000E+00 0.000E+00    2.101E+00 6.579E-06 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  3     3.538E+00 4.002E-02 1.068E+00 0.000E+00 0.000E+00 0.000E+00    2.163E+00-1.941E-06 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  4     3.207E+00 3.572E-02 8.910E-01 0.000E+00 0.000E+00 0.000E+00    2.227E+00-1.384E-05 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  5     2.912E+00 4.277E-02 1.502E+00 0.000E+00 0.000E+00 0.000E+00    2.313E+00-4.336E-05 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  6     2.610E+00 5.482E-02 1.356E+00 0.000E+00 0.000E+00 0.000E+00    2.409E+00-9.709E-05 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  7     2.069E+00 5.321E-02 1.278E+00 0.000E+00 0.000E+00 0.000E+00    2.457E+00-1.445E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  8     1.497E+00 1.284E-01 3.271E+00 0.000E+00 0.000E+00 0.000E+00    2.481E+00-1.986E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0  9     1.239E+00 7.161E-02 2.096E+00 0.000E+00 0.000E+00 0.000E+00    2.497E+00-2.602E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 10     1.221E+00 5.194E-02 1.658E+00 0.000E+00 0.000E+00 0.000E+00    2.496E+00-3.074E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 11     1.254E+00 7.683E-02 2.368E+00 0.000E+00 0.000E+00 0.000E+00    2.499E+00-3.663E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 12     9.873E-01 6.679E-02 1.588E+00 0.000E+00 0.000E+00 0.000E+00    2.506E+00-4.237E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 13     7.739E-01 5.942E-02 1.387E+00 0.000E+00 0.000E+00 0.000E+00    2.518E+00-4.801E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 14     6.452E-01 7.835E-02 1.868E+00 0.000E+00 0.000E+00 0.000E+00    2.542E+00-5.480E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 15     6.735E-01 5.863E-02 1.334E+00 0.000E+00 0.000E+00 0.000E+00    2.568E+00-6.134E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 16     7.115E-01 3.090E-02 5.072E-01 0.000E+00 0.000E+00 0.000E+00    2.597E+00-6.875E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 17     7.045E-01 5.132E-02 1.130E+00 0.000E+00 0.000E+00 0.000E+00    2.621E+00-7.618E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 18     5.524E-01 4.670E-02 9.003E-01 0.000E+00 0.000E+00 0.000E+00    2.637E+00-8.342E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 19     4.966E-01 7.024E-02 1.617E+00 0.000E+00 0.000E+00 0.000E+00    2.647E+00-9.067E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
          NITER=  20
0 20     4.858E-01 5.124E-02 1.121E+00 0.000E+00 0.000E+00 0.000E+00    2.650E+00-9.736E-04 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 21     5.087E-01 5.775E-02 1.251E+00 0.000E+00 0.000E+00 0.000E+00    2.650E+00-1.037E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 22     4.863E-01 6.220E-02 1.379E+00 0.000E+00 0.000E+00 0.000E+00    2.650E+00-1.095E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 23     4.407E-01 6.697E-02 1.517E+00 0.000E+00 0.000E+00 0.000E+00    2.650E+00-1.149E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 24     3.525E-01 6.536E-02 1.458E+00 0.000E+00 0.000E+00 0.000E+00    2.654E+00-1.199E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 25     2.927E-01 9.712E-02 2.861E+00 0.000E+00 0.000E+00 0.000E+00    2.660E+00-1.246E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 26     2.841E-01 9.014E-02 2.002E+00 0.000E+00 0.000E+00 0.000E+00    2.668E+00-1.291E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 27     2.987E-01 7.851E-02 1.790E+00 0.000E+00 0.000E+00 0.000E+00    2.675E+00-1.332E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 28     2.810E-01 7.605E-02 1.818E+00 0.000E+00 0.000E+00 0.000E+00    2.682E+00-1.371E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 29     2.515E-01 5.153E-02 1.114E+00 0.000E+00 0.000E+00 0.000E+00    2.687E+00-1.406E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 30     2.301E-01 5.097E-02 1.079E+00 0.000E+00 0.000E+00 0.000E+00    2.688E+00-1.438E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 31     2.324E-01 7.331E-02 1.726E+00 0.000E+00 0.000E+00 0.000E+00    2.689E+00-1.466E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 32     2.402E-01 9.021E-02 2.095E+00 0.000E+00 0.000E+00 0.000E+00    2.688E+00-1.491E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 33     2.360E-01 1.024E-01 2.430E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.513E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 34     2.125E-01 9.111E-02 2.083E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.532E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 35     1.762E-01 9.197E-02 2.124E+00 0.000E+00 0.000E+00 0.000E+00    2.686E+00-1.549E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 36     1.500E-01 1.065E-01 3.142E+00 0.000E+00 0.000E+00 0.000E+00    2.687E+00-1.564E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 37     1.429E-01 9.923E-02 2.333E+00 0.000E+00 0.000E+00 0.000E+00    2.689E+00-1.577E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 38     1.434E-01 1.090E-01 2.720E+00 0.000E+00 0.000E+00 0.000E+00    2.691E+00-1.588E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
0 39     1.361E-01 1.460E-01 4.255E+00 0.000E+00 0.000E+00 0.000E+00    2.693E+00-1.598E-03 1.000E+05 3.730E+02 1.200E-01 8.314E+02
          NITER=  40
